ダウンロードした時刻：2024/01/3023:32:49

,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
2021/2/13,1.0,8,1,0,1,8,1,曇一時晴,8,1,6.1,8,1,-3.3,8,1,49,0,8,1,13.7,8,1,0,1,8,1,晴,8,1,19.8,8,1,9.7,8,1,0,1,8,1,11.2,8,1,3.5,8,1,,0,1,13.8,8,1,7.3,8,1,0,8,1,20.4,8,1,18.5,0,8,1,晴時々曇一時雨,8,1,23.7,8,1,18.6,8,1,0,1,8,1,10.4,8,1,0,1,8,1,晴時々薄曇,8,1,16.2,8,1,4.9,8,1,0,1,8,1
2021/2/14,1.8,8,1,0,1,8,1,晴後薄曇,8,1,6.4,8,1,-2.8,8,1,47,0,8,1,14.5,8,1,0.0,0,8,1,晴,8,1,20.5,8,1,9.1,8,1,0,1,8,1,13.8,8,1,2.5,8,1,,0,1,17.8,8,1,11.7,8,1,0,8,1,21.0,8,1,11.0,0,8,1,雨後晴一時曇,8,1,23.6,8,1,19.8,8,1,0,1,8,1,12.3,8,1,0,1,8,1,晴時々曇,8,1,18.2,8,1,6.8,8,1,0,1,8,1
2021/2/15,3.8,8,1,10.0,0,8,1,雨一時曇,8,1,7.2,8,1,0.2,8,1,45,0,8,1,13.1,8,1,24.0,0,8,1,雨後曇一時晴,8,1,16.4,8,1,10.6,8,1,0,1,8,1,9.7,8,1,4.0,8,1,,0,1,12.5,8,1,3.6,8,1,0,8,1,19.4,8,1,0.0,0,8,1,晴,8,1,21.6,8,1,17.4,8,1,0,1,8,1,11.4,8,1,76.5,0,8,1,大雨,8,1,14.1,8,1,8.3,8,1,0,1,8,1
2021/2/16,-0.3,8,1,10.5,0,8,1,雪時々雨一時みぞれ,8,1,4.2,8,1,-5.3,8,1,43,0,8,1,8.4,8,1,0.0,0,8,1,晴,8,1,10.7,8,1,6.4,8,1,0,1,8,1,4.5,8,1,0.0,8,1,,0,1,8.6,8,1,1.2,8,1,0,8,1,17.2,8,1,0,1,8,1,晴,8,1,19.5,8,1,15.7,8,1,0,1,8,1,10.6,8,1,0,1,8,1,快晴,8,1,16.4,8,1,5.1,8,1,0,1,8,1
2021/2/17,-3.4,8,1,1.5,0,8,1,曇一時雪,8,1,-1.2,8,1,-6.0,8,1,45,0,8,1,3.9,8,1,0.5,0,8,1,曇一時雪後晴,8,1,8.3,8,1,0.2,8,1,0,1,8,1,-0.7,8,1,4.5,8,1,,0,1,5.6,8,1,-4.6,8,1,3,8,1,14.3,8,1,10.5,0,8,1,曇時々雨一時晴,8,1,16.5,8,1,13.0,8,1,0,1,8,1,7.6,8,1,0.0,0,8,1,晴後一時曇,8,1,13.1,8,1,2.2,8,1,0,1,8,1
2021/2/18,0.1,8,1,14.0,0,8,1,曇時々雪、あられを伴う,8,1,2.3,8,1,-2.6,8,1,50,0,8,1,2.6,8,1,0.0,0,8,1,晴後時々曇一時雪,8,1,6.9,8,1,-0.4,8,1,0,1,8,1,-2.2,8,1,1.5,8,1,,0,1,0.2,8,1,-4.7,8,1,3,8,1,12.7,8,1,0.0,0,8,1,曇一時雨,8,1,13.7,8,1,12.0,8,1,0,1,8,1,4.3,8,1,0,1,8,1,晴後曇,8,1,10.4,8,1,-0.5,8,1,0,1,8,1
2021/2/19,0.4,8,1,0.5,0,8,1,曇時々晴一時雪,8,1,3.2,8,1,-3.0,8,1,53,0,8,1,5.1,8,1,0.0,0,8,1,曇後晴,8,1,8.4,8,1,2.3,8,1,0,1,8,1,1.5,8,1,0.0,8,1,,0,1,8.2,8,1,-5.5,8,1,0,8,1,14.2,8,1,0.0,0,8,1,晴一時曇,8,1,16.7,8,1,12.1,8,1,0,1,8,1,6.9,8,1,0,1,8,1,快晴,8,1,12.3,8,1,1.4,8,1,0,1,8,1
2021/2/20,2.4,8,1,2.0,0,8,1,雨後曇一時晴,8,1,7.5,8,1,-2.0,8,1,46,0,8,1,10.0,8,1,0,1,8,1,晴,8,1,15.2,8,1,3.1,8,1,0,1,8,1,10.8,8,1,0.0,8,1,,0,1,14.5,8,1,5.3,8,1,0,8,1,15.3,8,1,0,1,8,1,晴一時曇,8,1,20.0,8,1,11.1,8,1,0,1,8,1,10.2,8,1,0,1,8,1,快晴,8,1,18.1,8,1,1.4,8,1,0,1,8,1
2021/2/21,-1.6,8,1,0,1,8,1,晴,8,1,1.7,8,1,-3.9,8,1,41,0,8,1,13.6,8,1,0,1,8,1,晴,8,1,19.5,8,1,8.6,8,1,0,1,8,1,14.1,8,1,0.0,8,1,,0,1,18.0,8,1,11.6,8,1,0,8,1,17.0,8,1,0,1,8,1,晴,8,1,21.7,8,1,11.6,8,1,0,1,8,1,13.9,8,1,0,1,8,1,快晴,8,1,20.9,8,1,7.3,8,1,0,1,8,1
2021/2/22,-0.9,8,1,0.5,0,8,1,晴後曇一時雪,8,1,3.0,8,1,-5.0,8,1,39,0,8,1,14.7,8,1,0,1,8,1,快晴,8,1,20.2,8,1,8.2,8,1,0,1,8,1,14.7,8,1,0.0,8,1,,0,1,18.2,8,1,9.9,8,1,0,8,1,19.7,8,1,0,1,8,1,晴,8,1,24.4,8,1,15.4,8,1,0,1,8,1,14.9,8,1,0,1,8,1,快晴,8,1,21.9,8,1,7.7,8,1,0,1,8,1
2021/2/23,-1.8,8,1,5.0,0,8,1,晴後雪,8,1,2.1,8,1,-3.5,8,1,46,0,8,1,10.5,8,1,0,1,8,1,曇時々晴,8,1,15.5,8,1,5.3,8,1,0,1,8,1,11.4,8,1,0.0,8,1,,0,1,16.1,8,1,4.8,8,1,0,8,1,20.5,8,1,0,1,8,1,曇時々晴,8,1,25.0,8,1,17.2,8,1,0,1,8,1,11.0,8,1,0,1,8,1,晴後一時薄曇,8,1,15.5,8,1,5.5,8,1,0,1,8,1
2021/2/24,-4.2,8,1,1.0,0,8,1,曇一時雪後一時晴,8,1,-1.6,8,1,-7.0,8,1,45,0,8,1,6.3,8,1,0,1,8,1,晴,8,1,11.3,8,1,3.4,8,1,0,1,8,1,6.8,8,1,0.0,8,1,,0,1,14.8,8,1,0.1,8,1,0,8,1,20.9,8,1,0,1,8,1,晴,8,1,23.9,8,1,18.3,8,1,0,1,8,1,6.4,8,1,0,1,8,1,晴時々薄曇,8,1,11.9,8,1,3.2,8,1,0,1,8,1
2021/2/25,-4.0,8,1,0,1,8,1,晴後曇,8,1,-0.9,8,1,-7.0,8,1,43,0,8,1,7.5,8,1,0,1,8,1,晴後曇,8,1,13.1,8,1,1.6,8,1,0,1,8,1,7.7,8,1,0.0,8,1,,0,1,15.3,8,1,-0.5,8,1,0,8,1,21.7,8,1,9.5,0,8,1,晴後曇,8,1,24.3,8,1,20.1,8,1,0,1,8,1,6.6,8,1,0,1,8,1,晴時々薄曇,8,1,11.3,8,1,1.5,8,1,0,1,8,1
2021/2/26,-4.2,8,1,10.0,0,8,1,晴時々雪,8,1,0.2,8,1,-6.9,8,1,58,0,8,1,7.6,8,1,1.5,0,8,1,雨後時々曇,8,1,9.4,8,1,5.7,8,1,0,1,8,1,6.0,8,1,36.5,8,1,,0,1,8.5,8,1,4.6,8,1,0,8,1,21.6,8,1,30.0,0,8,1,曇時々雨,8,1,24.4,8,1,18.6,8,1,0,1,8,1,8.7,8,1,0,1,8,1,曇,8,1,11.8,8,1,5.6,8,1,0,1,8,1
2021/2/27,-4.0,8,1,5.0,0,8,1,雪時々曇,8,1,-0.8,8,1,-8.0,8,1,61,0,8,1,6.7,8,1,0,1,8,1,薄曇,8,1,11.1,8,1,4.4,8,1,0,1,8,1,5.6,8,1,0.0,8,1,,0,1,7.5,8,1,3.8,8,1,0,8,1,21.6,8,1,0.0,0,8,1,曇時々雨,8,1,23.4,8,1,20.4,8,1,0,1,8,1,5.7,8,1,0,1,8,1,薄曇後晴,8,1,9.6,8,1,2.1,8,1,0,1,8,1
2021/2/28,-0.9,8,1,0,1,8,1,晴時々薄曇,8,1,4.7,8,1,-7.7,8,1,57,0,8,1,9.5,8,1,0,1,8,1,曇,8,1,16.0,8,1,4.0,8,1,0,1,8,1,10.3,8,1,0.0,8,1,,0,1,13.5,8,1,6.9,8,1,0,8,1,21.7,8,1,0.0,0,8,1,晴後一時雨,8,1,25.0,8,1,19.8,8,1,0,1,8,1,6.6,8,1,0,1,8,1,晴一時薄曇,8,1,12.9,8,1,0.3,8,1,0,1,8,1
2021/3/1,0.6,8,1,6.0,0,8,1,曇時々雨後雪,8,1,4.1,8,1,-1.8,8,1,55,0,8,1,14.3,8,1,0,1,8,1,晴時々薄曇,8,1,20.1,8,1,8.4,8,1,0,1,8,1,14.8,8,1,0.0,8,1,,0,1,18.3,8,1,11.1,8,1,0,8,1,21.8,8,1,0.0,0,8,1,晴後一時雨,8,1,24.4,8,1,20.2,8,1,0,1,8,1,11.8,8,1,0.5,0,8,1,薄曇一時晴,8,1,19.1,8,1,4.6,8,1,0,1,8,1
2021/3/2,-2.0,8,1,32.0,0,8,1,雪,8,1,-0.9,8,1,-3.0,8,1,79,0,8,1,10.3,8,1,34.5,0,8,1,大雨後時々曇,8,1,16.5,8,1,4.9,8,1,0,1,8,1,8.2,8,1,41.5,8,1,,0,1,15.4,8,1,2.8,8,1,0,8,1,18.8,8,1,0.5,0,8,1,曇時々雨,8,1,21.7,8,1,17.0,8,1,0,1,8,1,13.5,8,1,9.5,0,8,1,雨時々曇,8,1,19.8,8,1,7.9,8,1,0,1,8,1
2021/3/3,-4.3,8,1,0.5,0,8,1,雪一時曇,8,1,-2.2,8,1,-7.4,8,1,78,0,8,1,6.8,8,1,0.0,0,8,1,晴時々曇,8,1,11.6,8,1,4.2,8,1,0,1,8,1,4.7,8,1,0.0,8,1,,0,1,12.9,8,1,-1.5,8,1,0,8,1,18.4,8,1,0,1,8,1,晴,8,1,21.9,8,1,14.9,8,1,0,1,8,1,7.4,8,1,0,1,8,1,晴,8,1,11.8,8,1,3.8,8,1,0,1,8,1
2021/3/4,0.0,8,1,0,1,8,1,晴,8,1,3.8,8,1,-6.6,8,1,75,0,8,1,11.0,8,1,0.0,0,8,1,晴後曇,8,1,17.4,8,1,4.3,8,1,0,1,8,1,9.6,8,1,6.0,8,1,,0,1,14.2,8,1,0.6,8,1,0,8,1,20.6,8,1,12.5,0,8,1,晴時々曇,8,1,23.1,8,1,18.6,8,1,0,1,8,1,9.0,8,1,0,1,8,1,晴後薄曇,8,1,15.0,8,1,2.3,8,1,0,1,8,1
2021/3/5,5.7,8,1,0.0,0,8,1,晴,8,1,9.8,8,1,2.0,8,1,65,0,8,1,12.0,8,1,8.5,0,8,1,雨一時曇,8,1,13.7,8,1,10.1,8,1,0,1,8,1,13.4,8,1,6.5,8,1,,0,1,16.3,8,1,11.8,8,1,0,8,1,19.6,8,1,0.0,0,8,1,晴時々曇,8,1,21.6,8,1,18.4,8,1,0,1,8,1,11.8,8,1,2.0,0,8,1,曇後一時雨,8,1,17.4,8,1,8.4,8,1,0,1,8,1
2021/3/6,-3.6,8,1,5.5,0,8,1,雪一時曇,8,1,5.0,8,1,-6.4,8,1,58,0,8,1,11.7,8,1,0.0,0,8,1,曇一時雨,8,1,17.0,8,1,6.7,8,1,0,1,8,1,11.0,8,1,0.0,8,1,,0,1,14.5,8,1,7.2,8,1,0,8,1,19.5,8,1,4.5,0,8,1,曇後雨,8,1,22.1,8,1,18.0,8,1,0,1,8,1,13.8,8,1,0.5,0,8,1,曇,8,1,21.0,8,1,9.6,8,1,0,1,8,1
2021/3/7,-2.6,8,1,0.0,0,8,1,晴一時雪,8,1,1.0,8,1,-5.9,8,1,55,0,8,1,8.5,8,1,0.0,0,8,1,晴後曇,8,1,12.2,8,1,4.8,8,1,0,1,8,1,7.5,8,1,2.0,8,1,,0,1,9.0,8,1,5.9,8,1,0,8,1,20.5,8,1,14.5,0,8,1,雨後時々曇,8,1,23.1,8,1,19.2,8,1,0,1,8,1,7.8,8,1,0,1,8,1,曇,8,1,10.3,8,1,5.8,8,1,0,1,8,1
2021/3/8,-0.5,8,1,0.5,0,8,1,晴時々雪一時曇,8,1,2.5,8,1,-3.4,8,1,52,0,8,1,8.5,8,1,2.5,0,8,1,曇一時雨後晴,8,1,13.1,8,1,5.5,8,1,0,1,8,1,9.3,8,1,0.5,8,1,,0,1,16.2,8,1,3.4,8,1,0,8,1,20.8,8,1,0.0,0,8,1,晴一時曇,8,1,23.3,8,1,18.7,8,1,0,1,8,1,6.6,8,1,5.5,0,8,1,雨一時曇,8,1,7.7,8,1,5.1,8,1,0,1,8,1
2021/3/9,1.2,8,1,0.0,0,8,1,快晴,8,1,7.8,8,1,-5.2,8,1,50,0,8,1,9.2,8,1,0,1,8,1,曇,8,1,15.6,8,1,4.2,8,1,0,1,8,1,8.0,8,1,0.0,8,1,,0,1,15.1,8,1,1.8,8,1,0,8,1,20.9,8,1,0.0,0,8,1,薄曇時々晴,8,1,24.3,8,1,17.9,8,1,0,1,8,1,9.6,8,1,0.0,0,8,1,曇一時雨,8,1,13.7,8,1,5.7,8,1,0,1,8,1
2021/3/10,2.1,8,1,4.5,0,8,1,雪時々みぞれ後曇、大風を伴う,8,1,3.9,8,1,-0.1,8,1,47,0,8,1,11.1,8,1,0,1,8,1,晴,8,1,18.1,8,1,6.4,8,1,0,1,8,1,9.4,8,1,0.0,8,1,,0,1,18.0,8,1,2.4,8,1,0,8,1,20.2,8,1,0.0,0,8,1,晴,8,1,22.5,8,1,18.3,8,1,0,1,8,1,12.0,8,1,0,1,8,1,晴,8,1,19.4,8,1,6.8,8,1,0,1,8,1
2021/3/11,2.9,8,1,0.0,0,8,1,晴後曇,8,1,7.4,8,1,-3.8,8,1,47,0,8,1,10.2,8,1,0,1,8,1,晴一時薄曇,8,1,16.8,8,1,3.9,8,1,0,1,8,1,9.8,8,1,0.0,8,1,,0,1,18.3,8,1,0.0,8,1,0,8,1,20.7,8,1,0.0,0,8,1,晴,8,1,25.0,8,1,16.5,8,1,0,1,8,1,9.9,8,1,0,1,8,1,快晴,8,1,15.4,8,1,4.2,8,1,0,1,8,1
2021/3/12,3.3,8,1,0.0,0,8,1,晴,8,1,6.6,8,1,0.0,8,1,44,0,8,1,11.9,8,1,12.0,0,8,1,曇後雨,8,1,16.1,8,1,8.8,8,1,0,1,8,1,12.8,8,1,12.0,8,1,,0,1,13.7,8,1,11.3,8,1,0,8,1,21.1,8,1,2.5,0,8,1,晴後曇一時雨,8,1,24.9,8,1,19.0,8,1,0,1,8,1,12.7,8,1,0.0,0,8,1,曇,8,1,18.0,8,1,7.5,8,1,0,1,8,1
2021/3/13,3.5,8,1,0,1,8,1,薄曇時々晴,8,1,8.9,8,1,-3.5,8,1,40,0,8,1,11.5,8,1,11.5,0,8,1,曇時々雨一時晴,8,1,15.0,8,1,9.5,8,1,0,1,8,1,9.6,8,1,0.5,8,1,,0,1,13.2,8,1,3.7,8,1,0,8,1,18.8,8,1,0.0,0,8,1,曇時々晴,8,1,20.3,8,1,17.5,8,1,0,1,8,1,11.1,8,1,65.0,0,8,1,大雨、雷を伴う,8,1,13.9,8,1,8.1,8,1,0,1,8,1
2021/3/14,5.8,8,1,0.0,0,8,1,薄曇,8,1,9.4,8,1,2.4,8,1,37,0,8,1,10.8,8,1,0,1,8,1,晴,8,1,14.2,8,1,8.2,8,1,0,1,8,1,6.5,8,1,0.0,8,1,,0,1,13.6,8,1,-0.7,8,1,0,8,1,19.5,8,1,0.0,0,8,1,晴時々曇,8,1,22.6,8,1,17.2,8,1,0,1,8,1,12.5,8,1,0,1,8,1,快晴,8,1,18.2,8,1,8.1,8,1,0,1,8,1
2021/3/15,5.2,8,1,0,1,8,1,快晴,8,1,9.8,8,1,0.8,8,1,34,0,8,1,11.8,8,1,0,1,8,1,晴後時々薄曇,8,1,16.3,8,1,6.0,8,1,0,1,8,1,7.5,8,1,0.0,8,1,,0,1,16.0,5,1,-0.7,5,1,0,8,1,20.3,8,1,0.0,0,8,1,晴,8,1,24.3,8,1,16.1,8,1,0,1,8,1,12.9,8,1,0,1,8,1,快晴,8,1,19.5,8,1,8.3,8,1,0,1,8,1
2021/3/16,6.0,8,1,0.0,0,8,1,曇,8,1,12.2,8,1,0.2,8,1,28,0,8,1,13.8,8,1,0.0,0,8,1,曇一時雨,8,1,18.1,8,1,8.8,8,1,0,1,8,1,14.5,8,1,15.5,8,1,,0,1,17.9,8,1,5.6,8,1,0,8,1,22.1,8,1,0,1,8,1,晴,8,1,26.1,8,1,19.0,8,1,0,1,8,1,14.5,8,1,0,1,8,1,薄曇時々晴,8,1,22.0,8,1,7.6,8,1,0,1,8,1
2021/3/17,3.4,8,1,2.0,0,8,1,晴後みぞれ時々雨,8,1,6.8,8,1,1.6,8,1,23,0,8,1,12.1,8,1,0,1,8,1,晴時々薄曇,8,1,17.5,8,1,7.2,8,1,0,1,8,1,14.2,8,1,1.5,8,1,,0,1,20.9,8,1,7.9,8,1,0,8,1,22.7,8,1,0,1,8,1,晴,8,1,26.6,8,1,19.2,8,1,0,1,8,1,13.7,8,1,0,1,8,1,晴後薄曇,8,1,20.1,8,1,9.0,8,1,0,1,8,1
2021/3/18,2.1,8,1,3.0,0,8,1,曇一時雪,8,1,3.1,8,1,0.7,8,1,20,0,8,1,11.4,8,1,0,1,8,1,快晴,8,1,19.3,8,1,5.5,8,1,0,1,8,1,13.4,8,1,0.0,8,1,,0,1,22.0,8,1,4.5,8,1,0,8,1,22.8,8,1,0,1,8,1,晴,8,1,26.3,8,1,20.2,8,1,0,1,8,1,12.3,8,1,0,1,8,1,快晴,8,1,17.7,8,1,6.6,8,1,0,1,8,1
2021/3/19,2.0,8,1,4.0,0,8,1,雪後曇、みぞれを伴う,8,1,5.1,8,1,-0.3,8,1,22,0,8,1,13.3,8,1,0,1,8,1,晴後一時薄曇,8,1,20.9,8,1,7.8,8,1,0,1,8,1,15.0,8,1,0.0,8,1,,0,1,19.2,8,1,11.6,8,1,0,8,1,22.3,8,1,0,1,8,1,晴一時曇,8,1,25.0,8,1,20.1,8,1,0,1,8,1,12.9,8,1,0,1,8,1,晴時々薄曇,8,1,18.9,8,1,9.5,8,1,0,1,8,1
2021/3/20,2.1,8,1,0.0,0,8,1,晴後曇,8,1,5.8,8,1,-0.7,8,1,18,0,8,1,15.4,8,1,0.0,0,8,1,曇後一時雨,8,1,20.9,8,1,9.1,8,1,0,1,8,1,14.9,8,1,10.0,8,1,,0,1,16.9,8,1,13.2,8,1,0,8,1,23.1,8,1,0,1,8,1,晴一時曇,8,1,26.6,8,1,20.8,8,1,0,1,8,1,14.1,8,1,0.0,0,8,1,曇,8,1,18.6,8,1,10.8,8,1,0,1,8,1
2021/3/21,3.3,8,1,10.0,0,8,1,雨時々曇一時雪,8,1,8.1,8,1,-0.7,8,1,15,0,8,1,14.4,8,1,48.0,0,8,1,大雨一時曇,8,1,18.7,8,1,11.2,8,1,0,1,8,1,11.9,8,1,16.0,8,1,,0,1,17.2,8,1,6.8,8,1,0,8,1,19.8,8,1,1.5,0,8,1,曇一時雨,8,1,22.9,8,1,17.0,8,1,0,1,8,1,16.7,8,1,46.5,0,8,1,大雨,8,1,19.7,8,1,12.6,8,1,0,1,8,1
2021/3/22,5.2,8,1,1.5,0,8,1,曇一時雪,8,1,9.4,8,1,2.7,8,1,9,0,8,1,10.1,8,1,1.5,0,8,1,曇後時々雨,8,1,13.5,8,1,7.7,8,1,0,1,8,1,5.5,8,1,0.0,8,1,,0,1,9.3,8,1,0.0,8,1,0,8,1,16.6,8,1,0.0,0,8,1,曇一時雨,8,1,18.3,8,1,15.2,8,1,0,1,8,1,12.1,8,1,0.5,0,8,1,曇後一時雨,8,1,15.6,8,1,7.5,8,1,0,1,8,1
2021/3/23,5.8,8,1,0.5,0,8,1,晴時々曇,8,1,9.5,8,1,0.8,8,1,5,0,8,1,10.3,8,1,0,1,8,1,快晴,8,1,14.8,8,1,5.5,8,1,0,1,8,1,5.8,8,1,0.0,8,1,,0,1,14.2,8,1,-1.9,8,1,0,8,1,17.3,8,1,0,1,8,1,晴時々曇,8,1,20.9,8,1,13.8,8,1,0,1,8,1,10.8,8,1,0.0,0,8,1,快晴,8,1,15.8,8,1,5.3,8,1,0,1,8,1
2021/3/24,10.3,8,1,0,1,8,1,晴後一時薄曇,8,1,14.9,8,1,6.6,8,1,0,1,8,1,13.5,8,1,0,1,8,1,晴,8,1,19.1,8,1,7.1,8,1,0,1,8,1,9.1,8,1,0.0,8,1,,0,1,16.8,8,1,-0.9,8,1,0,8,1,19.3,8,1,12.0,0,8,1,雨時々曇,8,1,21.3,8,1,17.3,8,1,0,1,8,1,13.8,8,1,0,1,8,1,晴時々薄曇,8,1,20.5,8,1,6.7,8,1,0,1,8,1
2021/3/25,9.5,8,1,0.0,0,8,1,曇,8,1,12.5,8,1,6.4,8,1,0,1,8,1,14.0,8,1,0.5,0,8,1,雨後曇時々晴,8,1,16.1,8,1,11.8,8,1,0,1,8,1,13.1,8,1,0.0,8,1,,0,1,19.7,8,1,6.0,8,1,0,8,1,21.2,8,1,1.5,0,8,1,晴,8,1,24.1,8,1,18.9,8,1,0,1,8,1,14.5,8,1,0.5,0,8,1,曇後一時雨,8,1,18.4,8,1,11.7,8,1,0,1,8,1
2021/3/26,5.9,8,1,5.5,0,8,1,曇時々雨,8,1,8.8,8,1,3.6,8,1,0,1,8,1,13.4,8,1,0,1,8,1,晴後一時薄曇,8,1,20.8,8,1,8.7,8,1,0,1,8,1,12.1,8,1,0.0,8,1,,0,1,23.1,8,1,1.5,8,1,0,8,1,21.9,8,1,0.0,0,8,1,晴後一時曇,8,1,24.6,8,1,20.1,8,1,0,1,8,1,14.5,8,1,0,1,8,1,晴,8,1,21.2,8,1,10.2,8,1,0,1,8,1
2021/3/27,6.4,8,1,0,1,8,1,曇時々晴,8,1,12.7,8,1,2.0,8,1,0,1,8,1,14.0,8,1,0,1,8,1,薄曇,8,1,20.9,8,1,8.0,8,1,0,1,8,1,13.2,8,1,0.0,8,1,,0,1,21.5,8,1,2.5,8,1,0,8,1,22.8,8,1,0.0,0,8,1,晴時々曇,8,1,25.5,8,1,20.7,8,1,0,1,8,1,13.7,8,1,0,1,8,1,晴後薄曇,8,1,18.3,8,1,8.0,8,1,0,1,8,1
2021/3/28,8.8,8,1,0.5,0,8,1,曇一時晴,8,1,14.2,8,1,3.3,8,1,0,1,8,1,15.8,8,1,26.5,0,8,1,雨一時曇,8,1,17.4,8,1,14.6,8,1,0,1,8,1,13.3,8,1,30.0,8,1,,0,1,16.5,8,1,7.3,8,1,0,8,1,22.8,8,1,11.0,0,8,1,雨時々曇一時晴,8,1,25.6,8,1,21.4,8,1,0,1,8,1,16.5,8,1,8.0,0,8,1,曇一時雨,8,1,18.6,8,1,14.3,8,1,0,1,8,1
2021/3/29,11.9,8,1,3.5,0,8,1,曇時々晴,8,1,18.3,8,1,8.3,8,1,0,1,8,1,16.6,8,1,0,1,8,1,曇後晴,8,1,20.7,8,1,13.4,8,1,0,1,8,1,11.8,8,1,0.0,8,1,,0,1,20.3,8,1,3.9,8,1,0,8,1,22.7,8,1,0.0,0,8,1,曇時々晴,8,1,25.3,8,1,20.9,8,1,0,1,8,1,17.5,8,1,34.5,0,8,1,晴後時々薄曇,8,1,23.4,8,1,13.3,8,1,0,1,8,1
2021/3/30,10.3,8,1,0.0,0,8,1,晴一時曇,8,1,14.1,8,1,7.7,8,1,0,1,8,1,16.5,8,1,0,1,8,1,曇,8,1,21.9,8,1,12.5,8,1,0,1,8,1,12.5,8,1,0.0,8,1,,0,1,19.7,8,1,7.1,8,1,0,8,1,23.3,8,1,8.5,0,8,1,曇時々雨,8,1,25.4,8,1,22.1,8,1,0,1,8,1,17.8,8,1,0,1,8,1,曇一時晴,8,1,23.3,8,1,14.0,8,1,0,1,8,1
2021/3/31,8.5,8,1,0,1,8,1,快晴,8,1,13.6,8,1,4.6,8,1,0,1,8,1,15.3,8,1,0,1,8,1,晴,8,1,22.3,8,1,10.8,8,1,0,1,8,1,13.1,8,1,0.0,8,1,,0,1,22.3,8,1,4.3,8,1,0,8,1,23.1,8,1,0.5,0,8,1,曇一時雨,8,1,26.1,8,1,21.0,8,1,0,1,8,1,17.9,8,1,0.0,0,8,1,晴,8,1,23.4,8,1,15.0,8,1,0,1,8,1
2021/4/1,7.4,8,1,0,1,8,1,晴,8,1,12.3,8,1,3.6,8,1,0,1,8,1,16.3,8,1,0,1,8,1,薄曇一時晴,8,1,24.1,8,1,10.0,8,1,0,1,8,1,15.0,8,1,0.0,8,1,,0,1,21.8,8,1,7.2,8,1,0,8,1,24.6,8,1,0.0,0,8,1,曇時々晴,8,1,27.4,8,1,22.8,8,1,0,1,8,1,16.6,8,1,0.0,0,8,1,曇後晴,8,1,21.7,8,1,13.6,8,1,0,1,8,1
2021/4/2,8.4,8,1,0,1,8,1,晴後薄曇,8,1,15.1,8,1,1.9,8,1,0,1,8,1,18.8,8,1,0,1,8,1,晴後曇,8,1,24.6,8,1,14.5,8,1,0,1,8,1,15.8,8,1,0.0,8,1,,0,1,18.4,8,1,13.6,8,1,0,8,1,23.6,8,1,17.0,0,8,1,曇時々雨,8,1,26.0,8,1,21.1,8,1,0,1,8,1,16.0,8,1,0.0,0,8,1,曇,8,1,19.9,8,1,13.4,8,1,0,1,8,1
2021/4/3,9.1,8,1,0.5,0,8,1,曇後一時雨,8,1,13.6,8,1,4.9,8,1,0,1,8,1,18.0,8,1,0,1,8,1,曇一時晴,8,1,22.5,8,1,14.8,8,1,0,1,8,1,16.6,8,1,0.0,8,1,,0,1,19.1,8,1,14.6,8,1,0,8,1,23.2,8,1,0.0,0,8,1,曇,8,1,26.5,8,1,20.9,8,1,0,1,8,1,16.9,8,1,0,1,8,1,晴,8,1,22.3,8,1,11.8,8,1,0,1,8,1
2021/4/4,6.3,8,1,5.0,0,8,1,雨時々曇,8,1,9.4,8,1,3.7,8,1,0,1,8,1,17.0,8,1,25.5,0,8,1,雨時々曇,8,1,20.7,8,1,13.4,8,1,0,1,8,1,15.2,8,1,14.5,8,1,,0,1,18.2,8,1,11.0,8,1,0,8,1,21.3,8,1,0.0,0,8,1,曇一時雨,8,1,23.2,8,1,19.1,8,1,0,1,8,1,18.5,8,1,10.5,0,8,1,晴後曇時々雨,8,1,23.3,8,1,15.7,8,1,0,1,8,1
2021/4/5,5.9,8,1,0,1,8,1,快晴,8,1,9.7,8,1,2.7,8,1,0,1,8,1,12.4,8,1,0.0,0,8,1,曇後晴,8,1,16.5,8,1,9.5,8,1,0,1,8,1,10.8,8,1,0.0,8,1,,0,1,15.4,8,1,5.1,8,1,0,8,1,20.3,8,1,0,1,8,1,晴一時曇,8,1,23.1,8,1,18.4,8,1,0,1,8,1,12.9,8,1,18.0,0,8,1,雨時々曇,8,1,17.2,8,1,8.5,8,1,0,1,8,1
